   PDG   Mass (GeV)
    11     0.000511
   -11     0.000511
    13     0.105660
   -13     0.105660
    15     1.776820
   -15     1.776820
    22     0.000000
   211     0.139570
  -211     0.139570
   111     0.134980
   321     0.493680
  -321     0.493680
   130     0.497610
   310     0.497610
     2     0.330000
    -2     0.330000
     1     0.330000
    -1     0.330000
     3     0.500000
    -3     0.500000
     4     1.500000
    -4     1.500000
     5     4.800000
    -5     4.800000
     6   173.000000
    -6   173.000000
    21     0.000000
   113     0.775490
   213     0.775490
  -213     0.775490
   223     0.782650
   331     0.957780
   221     0.547850
   333     1.019460
 20113     1.230000
    12     0.000000
   -12     0.000000
    14     0.000000
   -14     0.000000
    16     0.000000
   -16     0.000000
